name,building_type,no_rooms,no_hall,area,age,address,price,date,lat,lon,timestamp
最筍1房睇樓從速,屋苑,1,0,333,-1,港島 上環/中環 莉景閣,20000,07-05-2021,22.28563015,114.1398130014204,1.62035E+12
最筍2房隨時睇樓,屋苑,2,2,413,-1,港島 北角 和富豪庭,17000,07-05-2021,22.291761700000002,114.19625743390847,1.62035E+12
近地鐵站最筍2房 乾淨舒適,屋苑,2,2,526,-1,港島 鰂魚涌 康怡花園_C座,21000,07-05-2021,22.2801352,114.21498700942624,1.62035E+12
12名校網 開放式靚裝樓齡新,屋苑,-1,-1,281,-1,港島 灣仔 壹環,20500,07-05-2021,22.2747355,114.17428491470805,1.62035E+12
交通便利開放式靚裝 樓齡新罕有放盤,屋苑,-1,-1,205,-1,港島 北角 君譽峰,11500,07-05-2021,22.29183735,114.19966684067256,1.62035E+12
最筍3房罕有放盤,屋苑,3,2,634,-1,港島 上環/中環 嘉景臺,26800,07-05-2021,22.274744050000002,114.19453021858047,1.62035E+12
近地鐵站最筍2房 罕有放盤,屋苑,2,2,461,-1,港島 鰂魚涌 康怡花園_P座,17000,07-05-2021,22.2796376,114.2135765814424,1.62035E+12
交通便利最筍2房 樓齡新實用企理,屋苑,2,0,450,-1,港島 香港仔 倚南,21000,07-05-2021,22.2442785,114.1557782742361,1.62035E+12
最筍2房樓齡新 罕有放盤,屋苑,2,0,595,-1,港島 香港仔 深灣9號_9座,32000,07-05-2021,22.248319799999997,114.15252411275256,1.62035E+12
最筍1房豪華靚裝,屋苑,1,2,407,-1,港島 上環/中環 鴨巴甸街28號,27500,07-05-2021,22.2833535,114.1523696,1.62035E+12
最筍1房乾淨舒適,屋苑,1,1,188,-1,港島 北角 明月大廈,10500,07-05-2021,22.290947,114.19625485,1.62035E+12
交通便利名校網 最筍1房光猛企理,屋苑,1,2,424,-1,港島 灣仔 嘉薈軒,22000,07-05-2021,22.27624405,114.1711172812316,1.62035E+12
優質知名校網 最筍2房隨時睇樓,屋苑,2,0,447,-1,港島 西半山 英輝閣,21000,07-05-2021,22.28444555,114.14561308931397,1.62035E+12
交通便利最筍2房 樓齡新睇樓從速,屋苑,2,2,537,-1,港島 香港仔 倚南,23000,07-05-2021,22.2442785,114.1557782742361,1.62035E+12
交通便利最筍3房 低價實盤豪華靚裝,屋苑,3,2,594,-1,港島 鰂魚涌 康怡花園_C座,20800,07-05-2021,22.2801352,114.21498700942624,1.62035E+12
最筍4房罕有放盤,屋苑,4,2,1049,-1,港島 跑馬地 嘉景臺,50000,07-05-2021,22.274744050000002,114.19453021858047,1.62035E+12
最筍2房睇樓從速,屋苑,2,0,698,-1,港島 西半山 堅道134號,27000,07-05-2021,22.2819553,114.1512912,1.62035E+12
近地鐵站最筍2房 價格超抵手慢無,屋苑,2,2,524,-1,港島 鰂魚涌 康怡花園_G座,15200,07-05-2021,22.281768200000002,114.21642372562815,1.62035E+12
最筍2房豪華靚裝,屋苑,2,2,600,-1,港島 上環/中環 慧源閣,31000,07-05-2021,22.2758415,114.1731355,1.62035E+12
名校網 最筍1房隨時睇樓,屋苑,1,0,332,-1,港島 西半山 寶玉閣,18000,07-05-2021,22.28286,114.14883,1.62035E+12
最筍2房罕有放盤,屋苑,2,1,385,-1,港島 西半山 栢苑,25000,07-05-2021,22.2834705,114.1485854,1.62035E+12
最筍3房罕有放盤,屋苑,3,2,562,-1,港島 跑馬地 茗苑,25500,07-05-2021,22.26864455,114.18673035359453,1.62035E+12
